,weight_1_1,weight_1_2,weight_1_3,weight_1_4,weight_1_5,weight_1_6,weight_1_7,weight_1_8,weight_2_1,weight_2_2,weight_2_3,weight_2_4,weight_2_5,weight_2_6,weight_2_7,weight_2_8,bias_1,bias_2,avg_s_trans,avg_s_rot,avg_v_sens,episode_time_ms,time_of_day,distance_to_previous_model,fitness
0,-0.287639348728,-0.502172538982,-0.470581101172,-0.0221821843908,0.245791077149,-0.913985324705,0.530543609765,0.040250540514,1.22263020982,0.498456432389,-0.0957297491947,0.896986798586,0.0833136515737,0.581291883397,-0.0851836870723,-0.0466874573009,0.949871384881,0.931089984549,27.8919358253,0.10421615839,0.115535769947,2020-01-14 18:09:55.180518,11.5751681328,0.0,9.46
1,0.789867515735,-1.01074518625,-0.661126748339,-0.331791677897,0.570702682412,-0.93958293141,0.592277852599,-0.0130051436502,-1.07211968956,0.478138859445,1.016163254,-1.69749849959,1.96858311439,2.28747476275,-0.0804377650352,-2.34471258331,0.909798122127,1.51707391857,23.5012406508,0.309075949589,0.324249819873,2020-01-14 18:10:06.073061,10.8830590248,1.187,9.46
2,-0.11354058869,-0.935867816574,-0.744144101219,0.568177964456,0.43899151034,-0.875931926598,0.587056981777,-0.148678084114,0.36085627536,-0.0684717462809,-0.265659706674,0.960648473629,-0.0741570315859,-0.42312651965,-0.365906112963,-1.46443123976,1.0,0.955438522077,16.7957756179,0.551708517756,0.302912100064,2020-01-14 18:10:18.325467,12.2432870865,21.973,9.46
3,-0.11354058869,-0.531265335971,-0.746109469399,0.157308411737,0.427451896679,-0.858049345798,0.698605516719,-0.142273559921,0.607437507894,-0.833706765078,-0.314396308025,0.560158602996,-0.0530266742746,-0.42312651965,-0.37192820611,-0.452932162341,0.913008713013,0.992769090833,30.6186784506,0.0109897464514,0.0162999939419,2020-01-14 18:10:31.911667,13.5769400597,2.534,20.351
4,-0.391474032352,-1.21413118828,-0.743174284494,0.584795143124,0.435383013172,-0.788291472196,0.422901066053,-0.155099561074,-0.574339097519,-0.532515660295,-0.118201299085,1.04344413108,-0.0741570315859,-1.13089689869,-0.749254935861,-1.46443123976,0.968740352676,0.970692875095,29.4933657116,0.112386053138,0.211302921058,2020-01-14 18:10:46.833806,14.9130280018,2.187,20.351
5,-0.00435796646647,-1.08549176182,-0.749023350819,0.670398142188,0.42522899765,-0.931073168716,0.516001941632,-0.171181171921,0.709493926028,0.226799840572,-0.344705987355,0.120959461307,-0.170942412322,-0.42312651965,-0.235377396812,-1.87108430968,1.02173348192,0.967790123551,36.3085580826,0.0137590670586,0.50949295496,2020-01-14 18:11:03.047357,16.2046990395,1.957,20.351
6,-0.0856159539596,-0.649719538682,-0.733245187169,0.486806630677,0.43899151034,-0.875931926598,0.781105211472,-0.150015764269,0.385861366622,-0.14827537355,-0.212388633059,1.03182643437,-0.277583513165,-0.787037177288,-1.39928805418,-0.719775253728,1.28476937611,1.1349061121,23.8831898516,0.345741857182,0.503586921282,2020-01-14 18:11:20.681301,17.623016119,1.166,20.351
7,-0.283090528479,-0.827791840496,-0.733245187169,0.0722279492775,0.474143335996,-0.912406121226,0.759489814943,-0.224892314864,0.392809781712,-0.14827537355,0.0248072288941,1.109321858,0.563140443112,0.663847069336,-1.61271374275,-1.4346521717,1.28476937611,1.1349061121,31.2974749009,0.0532920864721,0.0970116050524,2020-01-14 18:11:39.603394,18.9124238491,2.051,20.822
8,-0.271495308702,-0.649719538682,-0.750437806848,0.712215446982,0.428433525804,-0.875931926598,1.12973590819,-0.121795566699,0.491689738053,0.121956338212,-0.171709010562,1.45224452675,-0.578080925918,-1.57237539249,-1.26480217579,-0.719775253728,1.50521246198,1.1349061121,27.1133955075,0.134554079863,0.290084302841,2020-01-14 18:11:59.829129,20.2164402008,3.682,20.822
9,-0.250964682575,-0.649719538682,-0.761467344522,0.486806630677,0.434950270602,-0.875931926598,0.936239787715,-0.150015764269,0.385861366622,-0.275318588562,-0.125765972949,0.955375118712,-0.277583513165,-0.761383587052,-1.62338425197,-0.570801710445,1.28476937611,1.1349061121,38.490278244,0.0248682481902,0.838599778559,2020-01-14 18:12:21.368067,21.5300700665,1.244,20.822
10,-0.0856159539596,-0.722389039123,-0.617996794557,0.486806630677,0.453223399507,-0.875931926598,0.844231527179,-0.234049532989,0.385861366622,-0.327121859003,-0.293965296968,1.07141041699,-1.61061474153,-5.22084599041,-1.4610095646,-0.499462980525,1.28476937611,1.52798379739,39.750046285,0.00569360574087,1.0,2020-01-14 18:12:44.255477,22.8777139187,0.155,20.822
11,0.191685123665,-0.649719538682,-0.77151366162,0.486806630677,0.380364112482,-0.875931926598,0.429955161051,-0.163579369495,0.368343503904,-0.279501556309,0.0964037165116,0.793944797235,-0.561788201147,-1.28381980325,-1.64986278929,-0.719775253728,1.69928549715,1.11557896739,40.0,0.0,0.999635013312,2020-01-14 18:13:08.463339,24.1986129284,21.713,20.822
12,-0.0856159539596,-0.447678149217,-0.733245187169,0.486806630677,0.43899151034,-0.875931926598,0.781105211472,-0.150015764269,0.371630927213,-0.329187354964,-0.413092690101,1.20515508805,-0.277583513165,-0.822955896355,-1.38072283833,-1.25404698009,1.35947871074,1.1349061121,39.9998350704,4.55800224753e-07,0.999783960967,2020-01-14 18:13:34.111457,25.6386590004,0.937,20.822
